Start Time,Reason,Code Version,Inputs Directory,Total Pop,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory
scot-a,dev,src/main/resources/scotland_test_population,20170803-013712:669,0,false,58804,1y,100y,302696,0,0,1/1/1855,1/1/2016,12.009712147,0.0,0.0,results/scot-a/20170803-013712:669
scot-a,dev,src/main/resources/scotland_test_population,20170803-013724:679,0,false,58804,1y,100y,233602,0,0,1/1/1855,1/1/2016,38.343318938,0.0,0.0,results/scot-a/20170803-013724:679
scot-a,dev,src/main/resources/scotland_test_population,20170803-013803:023,0,false,58804,1y,100y,319710,0,0,1/1/1855,1/1/2016,28.130349595,0.0,0.0,results/scot-a/20170803-013803:023
scot-a,dev,src/main/resources/scotland_test_population,20170803-013831:153,1213017,true,58804,1y,100y,182745,95983,182013,1/1/1855,1/1/2016,60.980597585,263.045740418,16.023520656,results/scot-a/20170803-013831:153
scot-a,dev,src/main/resources/scotland_test_population,20170803-014411:203,0,false,58804,1y,100y,182779,0,0,1/1/1855,1/1/2016,44.655697977,0.0,0.0,results/scot-a/20170803-014411:203
scot-a,dev,src/main/resources/scotland_test_population,20170803-014455:859,0,false,58804,1y,100y,308608,0,0,1/1/1855,1/1/2016,29.300935423,0.0,0.0,results/scot-a/20170803-014455:859
scot-a,dev,src/main/resources/scotland_test_population,20170803-014525:160,0,false,58804,1y,100y,258145,0,0,1/1/1855,1/1/2016,31.799838115,0.0,0.0,results/scot-a/20170803-014525:160
scot-a,dev,src/main/resources/scotland_test_population,20170803-014556:960,0,false,58804,1y,100y,282834,0,0,1/1/1855,1/1/2016,32.612243657,0.0,0.0,results/scot-a/20170803-014556:960
scot-a,dev,src/main/resources/scotland_test_population,20170803-014629:573,0,false,58804,1y,100y,319646,0,0,1/1/1855,1/1/2016,22.714288749,0.0,0.0,results/scot-a/20170803-014629:573
scot-a,dev,src/main/resources/scotland_test_population,20170803-014652:287,0,false,58804,1y,100y,345616,0,0,1/1/1855,1/1/2016,17.301466012,0.0,0.0,results/scot-a/20170803-014652:287
scot-a,dev,src/main/resources/scotland_test_population,20170803-014709:589,0,false,58804,1y,100y,223846,0,0,1/1/1855,1/1/2016,37.212441264,0.0,0.0,results/scot-a/20170803-014709:589
scot-a,dev,src/main/resources/scotland_test_population,20170803-014746:802,0,false,58804,1y,100y,182578,0,0,1/1/1855,1/1/2016,45.359545919,0.0,0.0,results/scot-a/20170803-014746:802
scot-a,dev,src/main/resources/scotland_test_population,20170803-014832:162,0,false,58804,1y,100y,261204,0,0,1/1/1855,1/1/2016,31.293353632,0.0,0.0,results/scot-a/20170803-014832:162
scot-a,dev,src/main/resources/scotland_test_population,20170803-014903:455,0,false,58804,1y,100y,266291,0,0,1/1/1855,1/1/2016,34.402792509,0.0,0.0,results/scot-a/20170803-014903:455
scot-a,dev,src/main/resources/scotland_test_population,20170803-014937:858,0,false,58804,1y,100y,231794,0,0,1/1/1855,1/1/2016,38.857724338,0.0,0.0,results/scot-a/20170803-014937:858
scot-a,dev,src/main/resources/scotland_test_population,20170803-015016:716,0,false,58804,1y,100y,246004,0,0,1/1/1855,1/1/2016,33.685555259,0.0,0.0,results/scot-a/20170803-015016:716
scot-a,dev,src/main/resources/scotland_test_population,20170803-015050:402,0,false,58804,1y,100y,306207,0,0,1/1/1855,1/1/2016,12.393185691,0.0,0.0,results/scot-a/20170803-015050:402
scot-a,dev,src/main/resources/scotland_test_population,20170803-015102:795,0,false,58804,1y,100y,182732,0,0,1/1/1855,1/1/2016,60.335870849,0.0,0.0,results/scot-a/20170803-015102:795
scot-a,dev,src/main/resources/scotland_test_population,20170803-015203:131,0,false,58804,1y,100y,182828,0,0,1/1/1855,1/1/2016,51.393889358,0.0,0.0,results/scot-a/20170803-015203:131
scot-a,dev,src/main/resources/scotland_test_population,20170803-015254:525,0,false,58804,1y,100y,344563,0,0,1/1/1855,1/1/2016,24.644660432,0.0,0.0,results/scot-a/20170803-015254:525
scot-a,dev,src/main/resources/scotland_test_population,20170803-015319:170,1212054,true,58804,1y,100y,182508,95814,181797,1/1/1855,1/1/2016,61.250080889,263.102210326,15.946002238,results/scot-a/20170803-015319:170
scot-a,dev,src/main/resources/scotland_test_population,20170803-015859:469,0,false,58804,1y,100y,242268,0,0,1/1/1855,1/1/2016,37.316230758,0.0,0.0,results/scot-a/20170803-015859:469
scot-a,dev,src/main/resources/scotland_test_population,20170803-015936:785,1213245,true,58804,1y,100y,182776,96025,182056,1/1/1855,1/1/2016,61.282704465,266.60544661,15.922393987,results/scot-a/20170803-015936:785
scot-b,dev,src/main/resources/scotland_test_population,20170803-071134:453,0,false,58804,1y,100y,621962,0,0,1/1/1855,1/1/2016,108.913352446,0.0,0.0,results/scot-b/20170803-071134:453
scot-b,dev,src/main/resources/scotland_test_population,20170803-071323:370,0,false,58804,1y,100y,655584,0,0,1/1/1855,1/1/2016,150.918071717,0.0,0.0,results/scot-b/20170803-071323:370
scot-b,dev,src/main/resources/scotland_test_population,20170803-071554:288,0,false,58804,1y,100y,607493,0,0,1/1/1855,1/1/2016,70.838639695,0.0,0.0,results/scot-b/20170803-071554:288
scot-b,dev,src/main/resources/scotland_test_population,20170803-071705:127,0,false,58804,1y,100y,535344,0,0,1/1/1855,1/1/2016,91.494575089,0.0,0.0,results/scot-b/20170803-071705:127
scot-b,dev,src/main/resources/scotland_test_population,20170803-071836:622,0,false,58804,1y,100y,567670,0,0,1/1/1855,1/1/2016,75.230680235,0.0,0.0,results/scot-b/20170803-071836:622
scot-b,dev,src/main/resources/scotland_test_population,20170803-071951:854,0,false,58804,1y,100y,691165,0,0,1/1/1855,1/1/2016,130.382562489,0.0,0.0,results/scot-b/20170803-071951:854
scot-c,dev,src/main/resources/scotland_test_population,20170803-071206:240,0,false,58804,1y,100y,956813,0,0,1/1/1855,1/1/2016,619.069195251,0.0,0.0,results/scot-c/20170803-071206:240
scot-z,dev,src/main/resources/scotland_test_population,20170803-071659:508,243491,true,58804,1y,100y,36490,19180,36347,1/1/1855,1/1/2016,16.161745325,338.101217379,4.019035924,results/scot-z/20170803-071659:508
scot-b,dev,src/main/resources/scotland_test_population,20170803-072202:237,0,false,58804,1y,100y,541275,0,0,1/1/1855,1/1/2016,77.104181569,0.0,0.0,results/scot-b/20170803-072202:237
scot-b,dev,src/main/resources/scotland_test_population,20170803-072319:341,0,false,58804,1y,100y,365717,0,0,1/1/1855,1/1/2016,104.831493703,0.0,0.0,results/scot-b/20170803-072319:341
scot-b,dev,src/main/resources/scotland_test_population,20170803-072504:173,0,false,58804,1y,100y,498284,0,0,1/1/1855,1/1/2016,80.455614184,0.0,0.0,results/scot-b/20170803-072504:173
scot-z,dev,src/main/resources/scotland_test_population,20170803-072257:790,242675,true,58804,1y,100y,36574,19214,36426,1/1/1855,1/1/2016,12.917431333,202.611832923,3.44144144,results/scot-z/20170803-072257:790
scot-z,dev,src/main/resources/scotland_test_population,20170803-072636:761,0,false,58804,1y,100y,48577,0,0,1/1/1855,1/1/2016,5.972952514,0.0,0.0,results/scot-z/20170803-072636:761
scot-b,dev,src/main/resources/scotland_test_population,20170803-072624:629,0,false,58804,1y,100y,365445,0,0,1/1/1855,1/1/2016,115.204374062,0.0,0.0,results/scot-b/20170803-072624:629
scot-z,dev,src/main/resources/scotland_test_population,20170803-072642:734,242472,true,58804,1y,100y,36507,19192,36356,1/1/1855,1/1/2016,12.781238181,199.699664699,3.196303805,results/scot-z/20170803-072642:734
scot-b,dev,src/main/resources/scotland_test_population,20170803-072819:834,0,false,58804,1y,100y,634438,0,0,1/1/1855,1/1/2016,124.465174521,0.0,0.0,results/scot-b/20170803-072819:834
scot-b,dev,src/main/resources/scotland_test_population,20170803-073024:300,0,false,58804,1y,100y,495971,0,0,1/1/1855,1/1/2016,106.708622704,0.0,0.0,results/scot-b/20170803-073024:300
scot-b,dev,src/main/resources/scotland_test_population,20170803-073211:009,0,false,58804,1y,100y,626878,0,0,1/1/1855,1/1/2016,66.787408275,0.0,0.0,results/scot-b/20170803-073211:009
scot-z,dev,src/main/resources/scotland_test_population,20170803-073018:412,242566,true,58804,1y,100y,36551,19190,36399,1/1/1855,1/1/2016,12.529232644,197.998055567,3.044617519,results/scot-z/20170803-073018:412
