start.time,action,v.M
20180712-204736:957,RETAIN,28
20180712-204850:703,RETAIN,106
20180712-204906:554,RETAIN,27
20180712-204648:883,RETAIN,11
20180712-204254:080,RETAIN,13
20180712-205708:213,RETAIN,8
20180712-205039:348,RETAIN,12
20180712-205002:926,RETAIN,24
20180712-204251:601,RETAIN,8
20180712-205138:389,RETAIN,9
20180712-205043:293,RETAIN,7
20180712-205210:231,RETAIN,16
20180712-205003:480,RETAIN,4
20180712-205232:847,RETAIN,12
20180712-205035:741,RETAIN,8
20180712-205343:957,RETAIN,6
20180712-210112:789,RETAIN,10
20180712-205346:675,RETAIN,23
20180712-205545:571,RETAIN,45
20180712-204318:117,RETAIN,57
20180712-204332:887,RETAIN,20
20180712-205527:749,RETAIN,51
20180712-205808:447,RETAIN,95
20180712-205641:136,RETAIN,78
20180712-210519:941,RETAIN,90
20180712-205810:406,RETAIN,22
20180712-205834:377,RETAIN,101
20180712-205945:923,RETAIN,60
20180712-205727:384,RETAIN,16
20180712-205743:010,RETAIN,12
20180712-210930:733,RETAIN,10
20180712-210029:956,RETAIN,8
20180712-210356:611,RETAIN,45
20180712-205755:814,RETAIN,12
20180712-210135:998,RETAIN,9
20180712-205630:735,RETAIN,14
20180712-210316:463,RETAIN,10
20180712-210725:172,RETAIN,71
20180712-210328:088,RETAIN,5
20180712-210713:345,RETAIN,51
20180712-211329:357,RETAIN,48
20180712-210627:796,RETAIN,20
20180712-210207:409,RETAIN,12
20180712-210352:204,RERUN,8
20180712-210236:605,RETAIN,7
20180712-210617:584,RETAIN,26
20180712-211115:618,RETAIN,25
20180712-210326:191,RERUN,8
20180712-211731:067,RETAIN,41
20180712-210907:191,RETAIN,14
20180712-205723:530,RETAIN,17
20180712-205652:775,RETAIN,9
20180712-211042:861,RETAIN,61
20180712-211021:053,RETAIN,30
20180712-211251:036,RETAIN,7
20180712-211509:527,RETAIN,27
20180712-212130:952,RETAIN,5
20180712-211422:130,RETAIN,41
20180712-211813:041,RETAIN,10
20180712-211338:111,RETAIN,8
20180712-211134:413,RETAIN,15
20180712-211424:504,RETAIN,2
20180712-211637:291,RETAIN,58
20180712-211533:562,RETAIN,4
20180712-211111:712,RETAIN,21
20180712-211745:086,RETAIN,2
20180712-212531:556,RETAIN,2
20180712-211430:939,RERUN,16
20180712-211624:188,RETAIN,9
20180712-211437:963,RERUN,17
20180712-211435:249,RERUN,0
20180712-211443:495,RERUN,9
20180712-212143:756,RETAIN,4
20180712-211430:783,RETAIN,22
20180712-212931:481,RETAIN,9
20180712-211204:060,RETAIN,14
20180712-212532:134,RETAIN,2
20180712-212327:744,RETAIN,15
20180712-212134:549,RETAIN,37
20180712-212516:070,RETAIN,2
20180712-212445:642,RETAIN,75
20180712-212412:644,RETAIN,14
20180712-212326:450,RETAIN,28
20180712-212036:533,RETAIN,54
20180712-211232:151,RETAIN,25
20180712-213331:173,RETAIN,40
20180712-212459:211,RETAIN,11
20180712-212608:646,RETAIN,14
20180712-212610:237,RETAIN,11
20180712-212447:172,RERUN,12
20180712-212412:034,RETAIN,10
20180712-212606:147,RETAIN,6
20180712-212511:364,RETAIN,14
20180712-213730:295,RETAIN,34
20180712-212643:503,RERUN,13
20180712-213151:186,RERUN,16
20180712-212645:241,RETAIN,20
20180712-213235:792,RETAIN,16
20180712-213407:774,RETAIN,18
20180712-212908:445,RETAIN,4
20180712-213315:989,RETAIN,29
20180712-213442:334,RETAIN,30
20180712-212915:768,RERUN,10
20180712-214139:907,RETAIN,35
20180712-213147:109,RETAIN,85
20180712-213736:329,RETAIN,105
20180712-213429:569,RETAIN,31
20180712-213503:008,RETAIN,6
20180712-213239:891,RERUN,107
20180712-213521:640,RETAIN,7
20180712-213804:135,RETAIN,21
20180712-214550:820,RETAIN,19
20180712-213723:947,RETAIN,10
20180712-212706:518,RETAIN,10
20180712-212500:114,RETAIN,11
20180712-213949:536,RETAIN,68
20180712-213714:370,RETAIN,18
20180712-214232:317,RETAIN,8
20180712-213914:750,RETAIN,42
20180712-214224:987,RETAIN,28
20180712-214537:256,RETAIN,66
20180712-213949:637,RERUN,17
20180712-215026:072,RETAIN,54
20180712-214458:523,RETAIN,0
20180712-214110:944,RETAIN,15
20180712-214349:198,RERUN,18
20180712-214631:685,RERUN,15
20180712-214255:192,RETAIN,8
20180712-214442:652,RETAIN,51
20180712-214640:135,RETAIN,8
20180712-214459:527,RETAIN,36
20180712-214514:358,RETAIN,17
20180712-214253:087,RETAIN,12
20180712-215438:181,RETAIN,17
20180712-214701:482,RETAIN,18
20180712-215843:310,RETAIN,3
20180712-215154:448,RETAIN,4
20180712-215116:195,RETAIN,10
20180712-215343:018,RETAIN,49
20180712-214749:255,RERUN,17
20180712-214958:074,RERUN,2
20180712-215052:764,RETAIN,21
20180712-215251:682,RETAIN,12
20180712-214946:995,RERUN,13
20180712-214227:400,RETAIN,3
20180712-215318:696,RETAIN,69
20180712-220239:859,RETAIN,22
20180712-215319:339,RETAIN,47
20180712-215216:024,RERUN,14
20180712-215509:356,RETAIN,97
20180712-215539:445,RERUN,12
20180712-215154:789,RETAIN,15
20180712-215449:993,RETAIN,24
20180712-215437:341,RETAIN,12
20180712-215536:585,RETAIN,99
20180712-214227:228,RETAIN,23
20180712-220647:274,RETAIN,12
20180712-215913:951,RETAIN,11
20180712-215624:231,RETAIN,12
20180712-215545:421,RERUN,19
20180712-221046:715,RETAIN,14
20180712-220330:156,RETAIN,2
20180712-220158:825,RERUN,3
20180712-220352:465,RETAIN,105
20180712-215952:441,RETAIN,24
20180712-220434:703,RETAIN,24
20180712-220301:574,RETAIN,32
20180712-220512:010,RETAIN,80
20180712-220711:487,RETAIN,54
20180712-220503:670,RETAIN,80
20180712-220349:719,RETAIN,11
20180712-215945:130,RETAIN,14
20180712-220142:790,RETAIN,4
20180712-220333:604,RETAIN,12
20180712-221444:147,RETAIN,17
20180712-220140:487,RETAIN,16
20180712-220644:067,RETAIN,18
20180712-220454:100,RETAIN,27
20180712-220556:057,RETAIN,100
20180712-221045:460,RETAIN,32
20180712-215745:009,RETAIN,50
