Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,Binominal Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time
20180703-164751:542,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,617209,15625,TRUE,58439,1y,10y,129152,259268,259268,1/1/1855,01/01/2015,45.36594657,363.9388325,1.79E-06,src/main/resources/valipop/results/batch54-fs/20180703-164751:542,0,0,0.3,0,TRUE,147,6097.894328,NONE,10,337.6113865
20180703-163918:696,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,600875,15625,TRUE,58439,1y,10y,125787,252428,252428,1/1/1855,01/01/2015,96.92659149,816.7872913,3.04E-06,src/main/resources/valipop/results/batch54-fs/20180703-163918:696,0,0,0.6,0,TRUE,147,5711.028192,NONE,10,722.69897
20180703-163948:198,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,593063,15625,TRUE,58439,1y,10y,124138,248735,248735,1/1/1855,01/01/2015,100.1232822,834.9481798,2.43E-06,src/main/resources/valipop/results/batch54-fs/20180703-163948:198,0,0,0.6,0,TRUE,147,5933.041112,NONE,32,712.0968711
20180703-165400:842,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,597384,15625,TRUE,58439,1y,10y,125071,250816,250816,1/1/1855,01/01/2015,62.89356535,359.9255164,2.28E-06,src/main/resources/valipop/results/batch54-fs/20180703-165400:842,0,0,0.3,1,TRUE,147,6067.409936,NONE,8,397.4204272
20180703-170000:326,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,596427,15625,TRUE,58439,1y,10y,124744,250672,250672,1/1/1855,01/01/2015,39.33692409,193.2721282,2.43E-06,src/main/resources/valipop/results/batch54-fs/20180703-170000:326,0,0,1,0.6,TRUE,147,5961.974176,NONE,10,297.0036362
20180703-165314:529,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,650168,15625,TRUE,58439,1y,10y,136199,273194,273194,1/1/1855,01/01/2015,65.34566196,345.1174334,2.72E-06,src/main/resources/valipop/results/batch54-fs/20180703-165314:529,0,0,0.3,1,TRUE,147,6060.733632,NONE,13,477.5060957
20180703-170005:505,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,594575,15625,TRUE,58439,1y,10y,124435,249735,249735,1/1/1855,01/01/2015,48.82894343,203.8389129,2.62E-06,src/main/resources/valipop/results/batch54-fs/20180703-170005:505,0,0,1,0.6,TRUE,147,6132.296944,NONE,8,289.4422001
20180703-170000:573,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,595763,15625,TRUE,58439,1y,10y,124700,250277,250277,1/1/1855,01/01/2015,47.28665478,198.6025984,2.89E-06,src/main/resources/valipop/results/batch54-fs/20180703-170000:573,0,0,1,0.6,TRUE,147,7029.56076,NONE,6,300.4790185
20180703-170019:952,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,631693,15625,TRUE,58439,1y,10y,132322,265286,265286,1/1/1855,01/01/2015,42.04460826,199.6038798,1.87E-06,src/main/resources/valipop/results/batch54-fs/20180703-170019:952,0,0,1,0.6,TRUE,147,5980.128392,NONE,20,289.8079976
20180703-165645:562,batch54-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,659106,15625,TRUE,58439,1y,10y,137876,276744,276744,1/1/1855,01/01/2015,51.60135893,404.5216135,3.41E-06,src/main/resources/valipop/results/batch54-fs/20180703-165645:562,0,0,0.3,0,TRUE,147,6100.11488,NONE,13,393.3576637
