Start Time,Reason,Code Version,Inputs Directory,Total Pop,Seed Pop Size,Completed,Sim Length,Timestep,Input Width,Start Pop,End Pop,Peak Pop,Start Date,End Date,Sim Run time,CT Run time,Records Run time,Results Directory,Birth Factor,Death Factor,Recovery Factor,Proportional Recovery Factor,binomial Sampling,Min Birth Spacing,Peak Memory Usage (MB),Output Record Format,v/M,Stats Run Time,Eligibility Checks,Failed Eligibility Checks
20180709-121959:909,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1189407,31250,TRUE,58439,1y,10y,249056,499125,499125,1/1/1855,01/01/2015,72.50195551,458.9054734,1.13E-05,src/main/resources/valipop/results/batch53-fs/20180709-121959:909,0,0,0.65,0,TRUE,147,8024.5048,NONE,0,346.6027227,,
20180709-122127:329,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1325161,31250,TRUE,58439,1y,10y,277097,556761,556761,1/1/1855,01/01/2015,80.28149227,459.5234579,2.16E-06,src/main/resources/valipop/results/batch53-fs/20180709-122127:329,0,0,0.65,0,TRUE,147,9027.85184,NONE,9,360.3158568,,
20180709-122509:013,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190484,31250,TRUE,58439,1y,10y,249055,499495,499495,1/1/1855,01/01/2015,81.79358396,261.3443274,2.70E-06,src/main/resources/valipop/results/batch53-fs/20180709-122509:013,0,0,0.5,0.9,TRUE,147,8401.583416,NONE,21,365.1105043,,
20180709-122607:531,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1060815,31250,TRUE,58439,1y,10y,221996,445676,445676,1/1/1855,01/01/2015,71.03382014,251.3676195,2.11E-06,src/main/resources/valipop/results/batch53-fs/20180709-122607:531,0,0,0.5,0.9,TRUE,147,8210.26972,NONE,28,352.5221992,,
20180709-122627:412,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1185570,31250,TRUE,58439,1y,10y,247882,497888,497888,1/1/1855,01/01/2015,82.10403112,270.8404026,2.08E-06,src/main/resources/valipop/results/batch53-fs/20180709-122627:412,0,0,0.5,0.9,TRUE,147,8292.39516,NONE,17,362.5416492,,
20180709-123120:290,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1190168,31250,TRUE,58439,1y,10y,249286,499145,499145,1/1/1855,01/01/2015,71.89233331,274.7568902,2.07E-06,src/main/resources/valipop/results/batch53-fs/20180709-123120:290,0,0,0.6,0.05,TRUE,147,8686.747696,NONE,22,340.5155469,,
20180709-123359:237,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1186276,31250,TRUE,58439,1y,10y,248207,498571,498571,1/1/1855,01/01/2015,77.48681749,288.7028836,1.98E-06,src/main/resources/valipop/results/batch53-fs/20180709-123359:237,0,0,0.6,0.05,TRUE,147,9071.411016,NONE,18,344.7071655,,
20180709-123413:958,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188713,31250,TRUE,58439,1y,10y,248947,498669,498669,1/1/1855,01/01/2015,80.45642137,261.419714,2.02E-06,src/main/resources/valipop/results/batch53-fs/20180709-123413:958,0,0,0.5,0.4,TRUE,147,8732.696336,NONE,20,365.0245616,,
20180709-123432:095,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1312702,31250,TRUE,58439,1y,10y,274502,550959,550959,1/1/1855,01/01/2015,87.14792497,280.4357332,1.94E-06,src/main/resources/valipop/results/batch53-fs/20180709-123432:095,0,0,0.5,0.4,TRUE,147,8579.560736,NONE,22,370.9359357,,
20180709-123659:726,batch53-fs,dev-bf,src/main/resources/valipop/inputs/scotland_test_population/,1188061,31250,TRUE,58439,1y,10y,248690,498490,498490,1/1/1855,01/01/2015,80.44331094,260.3376189,2.09E-06,src/main/resources/valipop/results/batch53-fs/20180709-123659:726,0,0,0.5,0.9,TRUE,147,8970.402688,NONE,20,364.8758486,,
